Job Title,Key Skills,Functional Area,Industry,Predicted_Category
Technical Support Engineer, International Call Center| Technical Support| Maintenance| Communication Skills| PC Hardware| Technician Activities| Social Media| Analytical Ability| Soft Skills| Customer Satisfaction,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Graphic Designer, Illustrator| Corel Draw| Photoshop,"Design , Creative , User Experience","Education, Teaching, Training",Others
Testing Engineer, Manual testing| Informatica| microsoft| Process automation| System testing| PDF| Artificial Intelligence| Regression testing| Silicon| Analytics,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Team Lead/Technical Lead, Technical Architecture| Fusion| Oracle Fusion,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Graphic/Web Designer, Layout design| Corel Draw| Web designing| Photoshop,IT Software - Other,"Recruitment, Staffing",IT
Associate/Senior Associate -(NonTechnical), Bpo Voice| Voice Process| International BPO,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",IT
Software Developer,HTML5| ASP,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Sales/Business Development Manager, Product training| Sales| Relationship| Banking| Recruitment,"Sales , Retail , Business Development","Banking, Financial Services, Broking",Others
Client Servicing/Key Account Manager, Customer profitability| Receivable management| Education| Relationship building| Transportation| Service| Monitoring| Key accounts,"Sales , Retail , Business Development","Recruitment, Staffing",Others
Logistics Manager, Stores| warehouse| Logistics,Purchase / Logistics / Supply Chain,"Automobile, Auto Anciliary, Auto Components",Others
Associate/Senior Associate -(NonTechnical), BPO| Outbound| English| Email| Inbound calls| Customer service| Troubleshooting| Technical support| Recruitment| Comp,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",IT
Software Developer, Linux| Agile| Python| Computer science| Coding| Fixed income| Machine learning| Asset management| JIRA| Financial services,"IT Software - Application Programming , Maintenance","Banking, Financial Services, Broking",IT
Executive/ Sr Executive - Administration, English| MS Office| admin executive| Billing| Stock inventory| Writing| Office management| Management| Business Executive| Application,"HR , Recruitment , Administration , IR","IT-Software, Software Services",Others
Head/VP/GM-Finance/Audit, Credit Officers| Risk Management| Administration| Report Generation| Analysts| analytical skills,"Accounts , Finance , Tax , Company Secretary , Audit","Recruitment, Staffing",Others
Accounts Manager, Balance Sheet Finalisation| service tax| bank reconciliation| gst| income tax| taxation| financial auditing| finance| tax audit,"Accounts , Finance , Tax , Company Secretary , Audit","IT-Software, Software Services",Others
Associate/Senior Associate -(NonTechnical), accounts payable| accounting| AP,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",IT
Software Developer, Change management| Healthcare| Analyst| Business Analyst| Social media| Problem management| Software development life cycle| Scheduling| OEE,"IT Software - Application Programming , Maintenance","Medical, Healthcare, Hospitals",IT
Client Servicing/Key Account Manager, Copyright| Customer Service Representative| CV| Customer service| Security| Troubleshooting| CCTV,"Sales , Retail , Business Development","IT-Software, Software Services",IT
Software Developer, CSS| jQuery| MySQL| Javascript| HTML| Web Development| Laravel| Codeigniter,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Project Manager-IT/Software, Networking| Telecom| LAN| WAN| Bss| VPN| Wireless| Telecommunication| Costing| Visio,IT Software - Telecom Software,"IT-Software, Software Services",IT
Lecturer/Professor, Teaching| Educator| Counselor| Mentor| Trainer| Advisor,"Teaching , Education , Training , Counselling","Education, Teaching, Training",Others
Financial Analyst, Business communication| Analytical skills| Business objects| Team management| management| Transition management| Trend analysis| Variance analysis| Analytics,"Accounts , Finance , Tax , Company Secretary , Audit","IT-Software, Software Services",Others
Head/VP/GM/National Manager -Sales, Usage| PDF| C| Social media| Cash handling| Database| Customer service| Merchandising| Advertising,"Sales , Retail , Business Development","NGO, Social Services, Regulators, Industry Associations",Others
Technical Architect, salesforce| salesforce.com| system design| application architecture,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Project Manager-IT/Software,Execution|Project Management|AO engagement|Monitoring Tools|Delivery Management|Stakeholder Management|System Monitoring,"IT Software - ERP , CRM",IT-Software / Software Services,IT
Fresher, Recruitment| Hiring| HR| Screening| Interviewing| Staffing,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Sales/Business Development Manager, bca| cold calling| bidding| academic| customer service| documentation| selling| web development| seo| mba,"Sales , Retail , Business Development","IT-Software, Software Services",IT
Software Developer, Java| Webservices| Spring| Hibernate| System Design| ESB| SQL| Spring Boot| Javascript,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Software Developer, Debugging| Troubleshooting| Python| Interpersonal skills| OOPS| Programming| developer,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Sales/Business Development Manager, Direct sales| Cold calling| English| Networking| Business Development Manager| Customer interfacing| Data collection| Service| Digital marketing| WHO,"Sales , Retail , Business Development","IT-Software, Software Services",Others
Software Developer, build automation| Entity framework| MVC| microsoft| SQL,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",IT
Associate/Senior Associate -(NonTechnical), Technical support| Outbound| Troubleshooting| RecruitmentEnglish| Antivirus| Comp| Customer Service Executive| Domestic BPO,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",IT
Associate/Senior Associate -(Technical), Outbound| Medical| Technical support| Technical Support Associate| Email| Sales| US shift| Antivirus| Troubleshooting| Comp,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",IT
Outside Consultant, HR| Human Resource Management| Placement Coordination| recruitment executive| recruitment officer,"HR , Recruitment , Administration , IR","Recruitment, Staffing",Others
Purchase Executive, Strategic Sourcing| procurement| supply chain management| Packaging| Vendor Management,Purchase / Logistics / Supply Chain,"Internet, Ecommerce",Others
Software Developer,Test Engineering,"IT Software - Application Programming , Maintenance",IT-Software / Software Services,IT
Associate/Senior Associate -(Technical), Outbound| Technical Support Associate| Sales process| process| Senior| Technical| US shift| Technical support| International BPO,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",IT
Trainer, Corporate Training| corporate trainer| technical trainer,"Teaching , Education , Training , Counselling","IT-Software, Software Services",Others
Software Developer, java| mongodb| Hibernate| spring| jms,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Purchase/Vendor Development Manager, Procurement| Supply chain management| Automation| Copyright| Chain| Purchase| Head Operations| Steel| Business Executive,Purchase / Logistics / Supply Chain,"Advertising, PR, MR, Event Management",Others
Software Developer,software development life cycle| css| html5| ui development| design patterns| svn| software engineering| angularjs| javascript,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Telecalling/Telemarketing Executive, good communication skill| good speeking manners| ability to face strangers| punctual| gopod efficiency,"ITES , BPO , KPO , LPO , Customer Service , Operations","Recruitment, Staffing",IT
Cashier, Cash Handling| Cashier Activities| Day Book| Cashier| Restaurant| CSAT,"Hotels , Restaurants","Travel , Hotels , Restaurants , Airlines , Railways",Others
Fresher, C#| .Net| Asp.net,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Trainee, Excel| Sales| Conflict resolution| Analytical| Management Trainee| Power point presentation| MS Office,"Sales , Retail , Business Development",Insurance,Others
Testing Engineer, Manual testing| Eclipse| Coding| Scrum| Enterprise applications| Healthcare| JIRA| Android SDK| test driven development| Business Analyst,IT Software - QA & Testing,"Medical, Healthcare, Hospitals",IT
Production Manager, Production Management| production control| production planning| Production Manager| Planning| Production Support| Organizing,"Production , Manufacturing , Maintenance","Internet, Ecommerce",Others
Associate/Senior Associate -(NonTechnical), Outbound| Medical| Technical support| Technical Support Associate| Email| Technical| US shift| Antivirus| Troubleshooting| Comp,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",IT
Content Developer, Digital media| PHP| Recruitment| Bengali| LMS| Business administration| Content Editor| Journalism| Literature| Administration,"Journalism , Editing , Content","Media, Entertainment, Internet",IT
Software Developer, Graphics| Simulation| Power management| Electronics| Hardware| Research| System analysis| Electricals,"IT Software - Embedded , EDA , VLSI , ASIC , Chip Design","IT-Software, Software Services",IT
